Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
AT&T,249.286,163.786,12.976,403.821,11,Telecommunication Services,Telecommunications services,North America,United States,Texas,Texas,Randall L. Stephenson,http://www.forbes.com/companies/att/,0.032133049,0.079225331
Citigroup,164.316,84.038,14.717,1795.099,12,Financials,Major Banks,North America,United States,New York,New York,Mike L. Corbat,http://www.forbes.com/companies/citigroup/,0.008198434,0.175123159
ExxonMobil,343.165,197.518,7.84,330.314,13,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Darren W. Woods,http://www.forbes.com/companies/exxon-mobil/,0.023734992,0.039692585
General Electric,261.174,119.69,10.02,365.183,14,Industrials,Conglomerates,North America,United States,Massachusetts,Massachusetts,Jeff Immelt,http://www.forbes.com/companies/general-electric/,0.027438298,0.083716267
Samsung Electronics,254.303,173.995,19.3207,217.068,15,Information Technology,Semiconductors,Asia,South Korea,South Korea,,Oh-Hyun Kwon,http://www.forbes.com/companies/samsung-electronics/,0.089007592,0.111041697
Ping An Insurance Group,100.811,106.606,9.4603,801.022,16,Financials,Diversified Insurance,Asia,China,China,,Ming Zhe Ma,http://www.forbes.com/companies/ping-an-insurance/,0.011810287,0.088740784
Wal-Mart Stores,221.106,485.252,13.643,198.825,17,Consumer Discretionary,Discount Stores,North America,United States,Arkansas,Arkansas,C. Douglas McMillon,http://www.forbes.com/companies/wal-mart-stores/,0.068618132,0.028115289
Verizon Communications,198.352,125.98,13.127,244.18,18,Telecommunication Services,Telecommunications services,North America,United States,New York,New York,Lowell C. McAdam,http://www.forbes.com/companies/verizon-communications/,0.053759522,0.104199079
Microsoft,507.544,85.27,16.768,224.61,19,Information Technology,Software & Programming,North America,United States,Washington,Washington,Satya Nadella,http://www.forbes.com/companies/microsoft/,0.074653844,0.196645948
Royal Dutch Shell,228.793,234.751,4.6507,411.275,20,Energy,Oil & Gas Operations,Europe,Netherlands,Netherlands,,Ben van Beurden,http://www.forbes.com/companies/royal-dutch-shell/,0.011308006,0.019811204
Allianz,83.721,115.725,7.614,935.871,21,Financials,Diversified Insurance,Europe,Germany,Germany,,Oliver Bäte,http://www.forbes.com/companies/allianz/,0.008135737,0.065793908
China Mobile,225.308,106.763,16.4234,218.864,21,Telecommunication Services,Telecommunications services,Asia,Hong Kong,Hong Kong,,Yue Li,http://www.forbes.com/companies/china-mobile/,0.075039294,0.153830447
BNP Paribas,80.499,74.702,8.3706,2190.672,23,Financials,Major Banks,Europe,France,France,,Jean-Laurent Bonnafé,http://www.forbes.com/companies/bnp-paribas/,0.003821019,0.112053225
Alphabet,579.499,89.92,19.478,167.497,24,Information Technology,Computer Services,North America,United States,California,California,Lawrence E. Page,http://www.forbes.com/companies/alphabet/,0.11628865,0.216614769
China Petroleum & Chemical,105.122,255.722,6.9866,216.711,25,Energy,Oil & Gas Operations,Asia,China,China,,Qingde Sun,http://www.forbes.com/companies/china-petroleum-chemical/,0.03223925,0.027321075
Total,128.122,128.067,6.1561,230.978,26,Energy,Oil & Gas Operations,Europe,France,France,,Patrick Pouyanné,http://www.forbes.com/companies/total/,0.026652322,0.04806937
AXA Group,60.77,132.153,6.1527,925.854,27,Financials,Diversified Insurance,Europe,France,France,,Thomas Buberl,http://www.forbes.com/companies/axa-group/,0.006645432,0.046557399
Daimler,76.099,169.537,9.4314,256.292,28,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Dieter Zetsche,http://www.forbes.com/companies/daimler/,0.036799432,0.055630334
Volkswagen Group,72.941,240.34,5.6903,458.742,28,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Matthias Müller,http://www.forbes.com/companies/volkswagen-group/,0.01240414,0.023676042
Mitsubishi UFJ Financial,83.858,49.173,8.1545,2589.758,30,Financials,Major Banks,Asia,Japan,Japan,,Nobuyuki Hirano,http://www.forbes.com/companies/mitsubishi-ufj-financial/,0.00314875,0.165832876
Comcast,193.528,80.403,8.695,180.5,31,Consumer Discretionary,Broadcasting & Cable,North America,United States,Pennsylvania,Pennsylvania,Brian L. Roberts,http://www.forbes.com/companies/comcast/,0.048171745,0.108142731
Johnson & Johnson,338.644,71.937,16.375,141.208,32,Health Care,Medical Equipment & Supplies,North America,United States,New Jersey,New Jersey,Alex Gorsky,http://www.forbes.com/companies/johnson-johnson/,0.115963685,0.227629732
Banco Santander,89.409,48.336,6.8628,1412.442,33,Financials,Major Banks,Europe,Spain,Spain,,José Antonio ?lvarez ?lvarez,http://www.forbes.com/companies/banco-santander/,0.004858819,0.141981132
Bank of Communications,62.164,52.995,10.141,1209.176,34,Financials,Major Banks,Asia,China,China,,Qing Hua,http://www.forbes.com/companies/bank-of-communications/,0.008386703,0.191357675
Nestle,229.485,90.816,8.6594,129.779,34,Consumer Staples,Food Processing,Europe,Switzerland,Switzerland,,Ulf Mark Schneider,http://www.forbes.com/companies/nestle/,0.0667242,0.095351039
UnitedHealth Group,160.185,184.871,7.237,125.037,36,Health Care,Managed Health Care,North America,United States,Minnesota,Minnesota,Stephen J. Hemsley,http://www.forbes.com/companies/unitedhealth-group/,0.057878868,0.039146215
Nippon Telegraph & Tel,92.23,104.972,7.3846,180.257,37,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Hiroo Unoura,http://www.forbes.com/companies/nippon-tel-tel/,0.040967064,0.070348283
Itaú Unibanco Holding,79.208,61.283,6.6736,419.923,38,Financials,Regional Banks,South America,Brazil,Brazil,,Candido Botelho Bracher,http://www.forbes.com/companies/itau-unibanco-holding/,0.015892437,0.108898063
Softbank,78.632,82.136,8.307,213.204,38,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Masayoshi Son,http://www.forbes.com/companies/softbank/,0.038962684,0.101137138
Gazprom,51.815,91.353,12.1412,265.393,40,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Alexei Borisovich Miller,http://www.forbes.com/companies/gazprom/,0.045748004,0.132904229
General Motors,50.792,166.38,9.427,221.69,40,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Mary Teresa Barra,http://www.forbes.com/companies/general-motors/,0.042523343,0.056659454
China Merchants Bank,66.376,44.491,9.3814,855.07,42,Financials,Regional Banks,Asia,China,China,,Hui Yu Tian,http://www.forbes.com/companies/china-merchants-bank/,0.010971499,0.210860623
IBM,162.365,79.918,11.872,117.47,43,Information Technology,Computer Services,North America,United States,New York,New York,Ginni Rometty,http://www.forbes.com/companies/ibm/,0.101064101,0.148552266
Royal Bank of Canada,107.205,35.285,8.3485,891.096,44,Financials,Major Banks,North America,Canada,Canada,,David I. McKay,http://www.forbes.com/companies/royal-bank-of-canada/,0.0093688,0.236601956
Japan Post Holdings,55.145,123.728,3.1245,2522.131,45,Financials,Life & Health Insurance,Asia,Japan,Japan,,Masatsugu Nagato,http://www.forbes.com/companies/japan-post-holdings/,0.001238833,0.025252974
Procter & Gamble,228.115,65.231,9.533,117.033,46,Consumer Staples,Household/Personal Care,North America,United States,Ohio,Ohio,David S. Taylor,http://www.forbes.com/companies/procter-gamble/,0.081455658,0.146142172
Pfizer,203.07,52.824,7.131,171.615,47,Health Care,Pharmaceuticals,North America,United States,New York,New York,Ian C. Read,http://www.forbes.com/companies/pfizer/,0.041552312,0.134995457
HSBC Holdings,162.638,62.087,2.479,2374.986,48,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Stuart Thomson Gulliver,http://www.forbes.com/companies/hsbc-holdings/,0.001043796,0.039927843
Goldman Sachs Group,90.648,36.854,7.398,860.165,49,Financials,Investment Services,North America,United States,New York,New York,Lloyd Craig Blankfein,http://www.forbes.com/companies/goldman-sachs-group/,0.008600675,0.200738047
Siemens,109.773,88.354,6.4469,133.141,50,Industrials,Conglomerates,Europe,Germany,Germany,,Josef Kaeser,http://www.forbes.com/companies/siemens/,0.048421598,0.072966702
BMW Group,57.732,104.163,7.5918,210.341,51,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Harald Krüger,http://www.forbes.com/companies/bmw-group/,0.036092821,0.072883846
China Life Insurance,98.104,82.836,2.8798,388.746,52,Financials,Life & Health Insurance,Asia,China,China,,Zhi Xia,http://www.forbes.com/companies/china-life-insurance/,0.007407922,0.034765078
ING Group,57.932,53.581,5.1173,891.349,53,Financials,Major Banks,Europe,Netherlands,Netherlands,,Ralph A. J. G. Hamers,http://www.forbes.com/companies/ing-group/,0.005741073,0.09550587
Intel,170.35,59.387,10.316,113.327,54,Information Technology,Semiconductors,North America,United States,California,California,Brian M. Krzanich,http://www.forbes.com/companies/intel/,0.091028616,0.173708051
Postal Savings Bank Of China,55.157,48.036,6.0097,1189.391,55,Financials,Major Banks,Asia,China,China,,,http://www.forbes.com/companies/postal-savings-bank-of-china/,0.005052754,0.125108252
Sberbank,63.903,43.044,8.0677,415.579,56,Financials,Regional Banks,Asia,Russia,Russia,,Herman Oskarovich Gref,http://www.forbes.com/companies/sberbank/,0.019413156,0.187429142
TD Bank Group,92.001,31.874,6.9338,910.361,56,Financials,Major Banks,North America,Canada,Canada,,Bharat B. Masrani,http://www.forbes.com/companies/td-bank-group/,0.007616539,0.217537805
Cisco Systems,165.059,48.57,9.832,126.248,58,Information Technology,Communications Equipment,North America,United States,California,California,Charles H. Robbins,http://www.forbes.com/companies/cisco-systems/,0.077878461,0.202429483
Commonwealth Bank,109.902,30.93,7.0652,703.622,58,Financials,Major Banks,Australia,Australia,Australia,,Ian Mark Narev,http://www.forbes.com/companies/commonwealth-bank/,0.010041187,0.228425477
Morgan Stanley,78.286,37.913,5.975,815.992,60,Financials,Investment Services,North America,United States,New York,New York,James Patrick Gorman,http://www.forbes.com/companies/morgan-stanley/,0.007322376,0.157597658
Novartis,193.163,48.52,6.6996,130.387,61,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,"Joseph Jimenez, Jr.",http://www.forbes.com/companies/novartis/,0.051382423,0.138079143
Banco Bradesco,53.511,70.15,4.3271,362.432,62,Financials,Regional Banks,South America,Brazil,Brazil,,Luiz Carlos Trabuco Cappi,http://www.forbes.com/companies/banco-bradesco/,0.011939067,0.061683535
Industrial Bank,45.126,44.297,8.1064,872.1,63,Financials,Major Banks,Asia,China,China,,Jian Gao,http://www.forbes.com/companies/industrial-bank/,0.009295264,0.183001106
Ford Motor,44.718,151.8,4.596,237.951,64,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Jim Hackett,http://www.forbes.com/companies/ford-motor/,0.019314901,0.03027668
Shanghai Pudong Development,50.451,40.06,7.9926,842.832,64,Financials,Major Banks,Asia,China,China,,Guang Geng,http://www.forbes.com/companies/shanghai-pudong-development/,0.009483029,0.199515726
CVS Health,79.839,177.526,5.291,94.462,66,Consumer Staples,Drug Retail,North America,United States,Rhode Island,Rhode Island,Larry J. Merlo,http://www.forbes.com/companies/cvs-health/,0.056011941,0.029804085
Walt Disney,178.017,54.943,8.99,91.576,67,Consumer Discretionary,Broadcasting & Cable,North America,United States,California,California,Robert A. Iger,http://www.forbes.com/companies/walt-disney/,0.098169826,0.16362412
Prudential,53.669,96.936,2.592,568.951,68,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,,Mike Wells,http://www.forbes.com/companies/prudential/,0.004555753,0.026739292
Prudential Financial,45.559,56.333,4.318,783.962,69,Financials,Life & Health Insurance,North America,United States,New Jersey,New Jersey,"John Robert Strangfeld, Jr., CFA",http://www.forbes.com/companies/prudential-financial/,0.00550792,0.076651341
Oracle,182.239,37.429,8.917,125.382,70,Information Technology,Software & Programming,North America,United States,California,California,Safra Ada Catz and Mark Hurd,http://www.forbes.com/companies/oracle/,0.071118661,0.23823773
China State Construction Engineering,43.181,140.824,4.8643,201.364,71,Industrials,Construction Services,Asia,China,China,,Qing Guan,http://www.forbes.com/companies/china-state-construction-engineering/,0.024156751,0.034541697
Citic Pacific,41.408,49.059,5.5548,933.555,72,Materials,Iron & Steel,Asia,Hong Kong,Hong Kong,,Zhen Chang,http://www.forbes.com/companies/citic-pacific/,0.005950158,0.113226931
Boeing,108.756,94.571,4.89,89.997,73,Industrials,Aerospace & Defense,North America,United States,Illinois,Illinois,Dennis A. Muilenburg,http://www.forbes.com/companies/boeing/,0.054335145,0.051707183
Honda Motor,51.382,127.865,3.9313,161.802,74,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takahiro Hachigo,http://www.forbes.com/companies/honda-motor/,0.02429698,0.030745708
China Minsheng Banking,43.653,40.151,7.2263,848.682,75,Financials,Regional Banks,Asia,China,China,,Qing Duan,http://www.forbes.com/companies/china-minsheng-banking/,0.008514732,0.179978083
Westpac Banking Group,86.067,27.764,5.4759,642.677,76,Financials,Major Banks,Australia,Australia,Australia,,"Brian Hartzer, CFA",http://www.forbes.com/companies/westpac-banking/,0.008520454,0.197230226
Deutsche Telekom,80.001,80.857,2.9591,156.615,77,Telecommunication Services,Telecommunications services,Europe,Germany,Germany,,Timotheus Höttges,http://www.forbes.com/companies/deutsche-telekom/,0.018894103,0.036596708
China Citic Bank,43.117,39.664,6.2891,853.45,78,Financials,Regional Banks,Asia,China,China,,Zhen Chang,http://www.forbes.com/companies/china-citic-bank/,0.007369032,0.158559399
Roche Holding,219.267,51.338,9.7202,75.583,79,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,"Severin Schwan, LLD",http://www.forbes.com/companies/roche-holding/,0.128602993,0.189337333
UBS,59.983,37.975,3.3558,919.974,80,Financials,Major Banks,Europe,Switzerland,Switzerland,,Sergio P. Ermotti,http://www.forbes.com/companies/ubs/,0.003647712,0.088368664
Bank of Nova Scotia,70.479,26.697,5.5487,680.339,81,Financials,Major Banks,North America,Canada,Canada,,"Brian Johnston Porter, LLD",http://www.forbes.com/companies/bank-of-nova-scotia/,0.008155787,0.207839832
Rosneft,62.376,74.867,2.7017,193.189,82,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Igor Ivanovich Sechin,http://www.forbes.com/companies/rosneft/,0.013984751,0.03608666
Amazon.com,427.011,135.987,2.371,86.022,83,Consumer Discretionary,Internet & Catalog Retail,North America,United States,Washington,Washington,Jeffrey P. Bezos,http://www.forbes.com/companies/amazon/,0.027562717,0.01743549
PepsiCo,159.406,62.801,6.329,74.129,84,Consumer Staples,Beverages,North America,United States,New York,New York,Indra K. Nooyi,http://www.forbes.com/companies/pepsico/,0.085378192,0.10077865
Sumitomo Mitsui Financial,48.067,30.493,5.2009,1648.785,84,Financials,Major Banks,Asia,Japan,Japan,,Masayuki Oku,http://www.forbes.com/companies/sumitomo-mitsui-financial/,0.003154383,0.170560456
Coca-Cola,182.883,41.478,6.527,87.27,86,Consumer Staples,Beverages,North America,United States,Georgia,Georgia,James Quincey,http://www.forbes.com/companies/coca-cola/,0.074790879,0.157360528
United Technologies,90.583,57.383,5.044,89.706,87,Industrials,Conglomerates,North America,United States,Connecticut,Connecticut,Gregory J. Hayes,http://www.forbes.com/companies/united-technologies/,0.056228123,0.087900598
Sanofi,116.109,37.413,5.2091,110.403,88,Health Care,Pharmaceuticals,Europe,France,France,,Olivier Brandicourt,http://www.forbes.com/companies/sanofi/,0.047182595,0.139232352
Bayer,94.382,51.832,5.0122,90.086,89,Materials,Diversified Chemicals,Europe,Germany,Germany,,Werner Baumann,http://www.forbes.com/companies/bayer/,0.055637946,0.09670088
Mizuho Financial,44.429,28.974,6.0382,1752.33,90,Financials,Major Banks,Asia,Japan,Japan,,Yasuhiro Sato,http://www.forbes.com/companies/mizuho-financial/,0.003445812,0.208400635
Zurich Insurance Group,40,67.317,3.2101,364.332,91,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,,Mario Greco,http://www.forbes.com/companies/zurich-insurance-group/,0.00881092,0.04768632
ANZ,68.836,26.528,4.2019,701.007,92,Financials,Major Banks,Australia,Australia,Australia,,Shayne Cary Elliott,http://www.forbes.com/companies/anz/,0.005994091,0.158394903
BASF,90.952,63.662,4.4867,83.865,93,Materials,Diversified Chemicals,Europe,Germany,Germany,,Kurt W. Bock,http://www.forbes.com/companies/basf/,0.053499076,0.070476894
Walgreens Boots Alliance,88.995,116.081,4.247,72.505,94,Consumer Staples,Drug Retail,North America,United States,Illinois,Illinois,Stefano Pessina,http://www.forbes.com/companies/walgreens-boots-alliance/,0.058575271,0.036586521
Nissan Motor,38.372,105.939,4.4651,157.269,95,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Carlos Ghosn Bichara,http://www.forbes.com/companies/nissan-motor/,0.028391482,0.04214784
US Bancorp,86.608,22.006,5.87,450.954,96,Financials,Major Banks,North America,United States,Minnesota,Minnesota,Andrew J. Cecere,http://www.forbes.com/companies/us-bancorp/,0.013016849,0.266745433
American Express,70.092,34.001,5.365,158.893,97,Financials,Consumer Financial Services,North America,United States,New York,New York,Kenneth Irvine Chenault,http://www.forbes.com/companies/american-express/,0.033764861,0.157789477
Hon Hai Precision,54.375,135.151,4.61,80.426,98,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Terry Gou,http://www.forbes.com/companies/hon-hai-precision/,0.057319772,0.034109995
Enel,47.494,75.89,2.8429,164.115,99,Utilities,Electric Utilities,Europe,Italy,Italy,,Francesco Starace,http://www.forbes.com/companies/enel/,0.017322609,0.037460799
Merck,173.328,39.555,3.92,95.377,100,Health Care,Pharmaceuticals,North America,United States,New Jersey,New Jersey,Kenneth C. Frazier,http://www.forbes.com/companies/merck-co/,0.041100056,0.099102515
National Australia Bank,65.024,24.181,4.3476,595.327,100,Financials,Major Banks,Australia,Australia,Australia,,Andrew Gregory Thorburn,http://www.forbes.com/companies/national-australia-bank/,0.007302877,0.179794053
PetroChina,204.477,214.76,1.1621,344.91,102,Energy,Oil & Gas Operations,Asia,China,China,,Wang Dongjin,http://www.forbes.com/companies/petrochina/,0.003369285,0.005411157
Unilever,143.891,58.311,5.7345,59.518,103,Consumer Staples,Household/Personal Care,Europe,Netherlands,Netherlands,,Paulus Gerardus J. Polman,http://www.forbes.com/companies/unilever/,0.096349004,0.098343366
Hyundai Motor,34.221,80.719,4.66,148.068,104,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,South Korea,,Mong-Koo Chung,http://www.forbes.com/companies/hyundai-motor/,0.031472026,0.057731141
BBVA-Banco Bilbao Vizcaya,49.646,27.273,3.844,771.925,105,Financials,Regional Banks,Europe,Spain,Spain,,Carlos Torres Vila,http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/,0.004979758,0.140945257
Reliance Industries,71.165,41.792,4.3491,97.895,106,Energy,Oil & Gas Operations,Asia,India,India,,Mukesh Dhirubhai Ambani,http://www.forbes.com/companies/reliance-industries/,0.044426171,0.104065371
Charter Communications,101.619,29.003,3.522,153.237,107,Consumer Discretionary,Broadcasting & Cable,North America,United States,Connecticut,Connecticut,Thomas M. Rutledge,http://www.forbes.com/companies/charter-communications/,0.022984005,0.121435714
SAIC Motor,43.491,112.725,4.818,84.989,108,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,China,,Hong Chen,http://www.forbes.com/companies/saic-motor/,0.056689689,0.042741184
Chubb,64.031,31.944,4.135,159.786,109,Financials,Property & Casualty Insurance,Europe,Switzerland,Switzerland,,Evan G. Greenberg,http://www.forbes.com/companies/chubb/,0.025878362,0.129445279
Telefónica,55.893,57.563,2.6207,130.41,110,Telecommunication Services,Telecommunications services,Europe,Spain,Spain,,José María ?lvarez-Pallete López,http://www.forbes.com/companies/telefonica/,0.020095852,0.045527509
AIA Group,77.076,26.455,4.164,183.028,111,Financials,Life & Health Insurance,Asia,Hong Kong,Hong Kong,,Keng Hooi Ng,http://www.forbes.com/companies/aia-group/,0.022750617,0.157399357
Société Générale,39.893,27.985,4.0066,1457.875,112,Financials,Major Banks,Europe,France,France,,Frédéric Oudéa,http://www.forbes.com/companies/societe-generale/,0.002748247,0.143169555
Dow Chemical,77.033,48.137,4.294,79.511,113,Materials,Diversified Chemicals,North America,United States,Michigan,Michigan,Andrew N. Liveris,http://www.forbes.com/companies/dow-chemical/,0.054005106,0.089203731
Home Depot,176.728,94.595,7.957,42.966,114,Consumer Discretionary,Home Improvement Retail,North America,United States,Georgia,Georgia,Craig A. Menear,http://www.forbes.com/companies/home-depot/,0.185192943,0.084116497
Lloyds Banking Group,55.869,23.405,2.8227,1010.506,115,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,António Horta-Osório,http://www.forbes.com/companies/lloyds-banking-group/,0.002793353,0.120602435
Medtronic,110.017,29.361,3.969,97.578,115,Health Care,Medical Equipment & Supplies,Europe,Ireland,Ireland,,Omar S. Ishrak,http://www.forbes.com/companies/medtronic/,0.040675152,0.13517932
Kraft Heinz Company,110.395,26.484,3.632,120.48,117,Consumer Staples,Food Processing,North America,United States,Illinois,Illinois,Bernardo Vieira Hees,http://www.forbes.com/companies/kraft-heinz-company/,0.030146082,0.137139405
Saudi Basic Industries,80.696,35.413,4.7561,84.464,117,Materials,Diversified Chemicals,Asia,Saudi Arabia,Saudi Arabia,,Yousef bin Abdullah Al-Benyan,http://www.forbes.com/companies/saudi-basic-industries/,0.056309197,0.134303787
Facebook,407.3,27.638,9.487,64.961,119,Information Technology,Computer Services,North America,United States,California,California,Mark Elliot Zuckerberg,http://www.forbes.com/companies/facebook/,0.146041471,0.343259281
Munich Re,30.461,68.764,2.854,286.949,120,Financials,Diversified Insurance,Europe,Germany,Germany,,Joachim Wenning,http://www.forbes.com/companies/munich-re/,0.009946018,0.041504275
Intesa Sanpaolo,45.265,24.813,3.4414,764.799,121,Financials,Regional Banks,Europe,Italy,Italy,,Carlo Messina,http://www.forbes.com/companies/intesa-sanpaolo/,0.004499744,0.138693427
Barclays,45.427,29.187,2.3626,1498.999,122,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Jes Staley,http://www.forbes.com/companies/barclays/,0.001576118,0.080946997
Rio Tinto,72.901,33.926,4.6835,89.263,123,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,,Jean-Sébastien Jacques,http://www.forbes.com/companies/rio-tinto/,0.052468548,0.138050463
BHP Billiton,98.308,33.95,2.4336,119.535,124,Materials,Diversified Metals & Mining,Australia,Australia,Australia,,Andrew Mackenzie,http://www.forbes.com/companies/bhp-billiton/,0.020358891,0.071681885
CK Hutchison,47.389,33.474,4.2523,130.717,125,Industrials,Conglomerates,Asia,Hong Kong,Hong Kong,,Kin Ning Fok,http://www.forbes.com/companies/ck-hutchison/,0.032530581,0.127032921
Anheuser-Busch InBev,213.102,45.558,1.2467,261.139,126,Consumer Staples,Beverages,Europe,Belgium,Belgium,,Carlos Alves de Brito,http://www.forbes.com/companies/anheuser-busch-inbev/,0.004774086,0.027365117
Taiwan Semiconductor,161.734,29.392,10.364,58.533,127,Information Technology,Semiconductors,Asia,Taiwan,Taiwan,,Te Yin Liu,http://www.forbes.com/companies/taiwan-semiconductor/,0.177062512,0.352612956
Capital One Financial,40.325,27.906,3.727,357.033,128,Financials,Consumer Financial Services,North America,United States,Virginia,Virginia,Richard D. Fairbank,http://www.forbes.com/companies/capital-one-financial/,0.010438811,0.133555508
LukOil,44.57,74.606,3.0867,83.185,129,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Vagit Yusufovich Alekperov,http://www.forbes.com/companies/lukoil/,0.037106449,0.041373348
Swiss Re,32.12,43.621,3.5564,207.604,130,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,,Christian Mumenthaler,http://www.forbes.com/companies/swiss-re/,0.017130691,0.081529539
Amgen,120.322,22.683,7.722,77.626,131,Health Care,Biotechs,North America,United States,California,California,Robert A. Bradway,http://www.forbes.com/companies/amgen/,0.099476979,0.34043116
Banco do Brasil,29.044,57.272,2.3046,430.57,132,Financials,Regional Banks,South America,Brazil,Brazil,,Alexandre Corrêa Abreu,http://www.forbes.com/companies/banco-do-brasil/,0.00535244,0.040239559
Bank of Montreal,48.552,19.703,3.8341,531.071,133,Financials,Major Banks,North America,Canada,Canada,,William A. Downe,http://www.forbes.com/companies/bank-of-montreal/,0.007219562,0.194594732
Gilead Sciences,87.036,30.317,13.501,56.977,134,Health Care,Biotechs,North America,United States,California,California,John F. Milligan,http://www.forbes.com/companies/gilead-sciences/,0.236955263,0.445327704
China Communications Construction,38.839,64.127,2.4892,115.327,135,Industrials,Construction Services,Asia,China,China,,Xiang Liu,http://www.forbes.com/companies/china-communications-construction/,0.021583844,0.038816723
Honeywell International,94.594,39.302,4.742,54.146,136,Industrials,Conglomerates,North America,United States,New Jersey,New Jersey,Darius Adamczyk,http://www.forbes.com/companies/honeywell-international/,0.08757803,0.120655437
Manulife,34.377,38.918,2.2107,511.337,137,Financials,Life & Health Insurance,North America,Canada,Canada,,Don A. Guloien,http://www.forbes.com/companies/manulife/,0.004323372,0.05680405
Korea Electric Power,25.493,51.88,6.0754,147.24,138,Utilities,Electric Utilities,Asia,South Korea,South Korea,,Hwan-Eik Cho,http://www.forbes.com/companies/korea-electric-power/,0.041261885,0.117104857
Generali Group,23.711,90.542,2.302,553.003,139,Financials,Diversified Insurance,Europe,Italy,Italy,,Philippe Donnet,http://www.forbes.com/companies/generali-group/,0.004162726,0.025424665
Alibaba,264.865,21.493,5.7136,70.679,140,Consumer Discretionary,Business & Personal Services,Asia,China,China,,Yong Zhang,http://www.forbes.com/companies/alibaba/,0.080838722,0.265835388
KDDI,68.324,43.156,5.1296,52.308,141,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Tadashi Onodera,http://www.forbes.com/companies/kddi/,0.098065305,0.118861804
