Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
Anthem,38.748,79.24,2.56,61.718,152,Health Care,Managed Health Care,North America,United States,Indiana,Indiana,Joseph Swedish,http://www.forbes.com/companies/anthem/,0.041478985,0.032306916
Banco do Brasil,17.022,65.553,4.3108,354.156,153,Financials,Regional Banks,South America,Brazil,Brazil,,Alexandre Abreu,http://www.forbes.com/companies/banco-do-brasil/,0.012172037,0.06576053
PNC Financial Services,43.957,15.983,4.017,360.985,153,Financials,Major Banks,North America,United States,Pennsylvania,Pennsylvania,William Demchak,http://www.forbes.com/companies/pnc-financial-services/,0.011127886,0.251329538
Caterpillar,45.607,47.011,2.102,78.497,155,Industrials,Heavy Equipment,North America,United States,Tennessee,Tennessee,Douglas Oberhelman,http://www.forbes.com/companies/caterpillar/,0.026778093,0.04471294
Time Warner,60.565,28.118,3.824,63.848,156,Consumer Discretionary,Broadcasting & Cable,North America,United States,New York,New York,Jeff Bewkes,http://www.forbes.com/companies/time-warner/,0.059892244,0.135998293
KDDI,81.631,37.337,4.0098,46.484,157,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Tadashi Onodera,http://www.forbes.com/companies/kddi/,0.08626194,0.107394809
AbbVie,99.361,22.859,5.117,53.05,158,Health Care,Pharmaceuticals,North America,United States,Illinois,Illinois,Richard Gonzalez,http://www.forbes.com/companies/abbvie/,0.096456173,0.223850562
McKesson,40.746,189.131,1.959,55.087,159,Health Care,Pharmaceuticals,North America,United States,California,California,John Hammergren,http://www.forbes.com/companies/mckesson/,0.035561929,0.0103579
National Grid,51.444,24.232,3.3326,83.293,160,Utilities,Electric Utilities,Europe,United Kingdom,United Kingdom,,John Pettigrew,http://www.forbes.com/companies/national-grid/,0.040010565,0.137528887
Bank of New York Mellon,44.181,15.429,3.161,372.87,161,Financials,Major Banks,North America,United States,New York,New York,Gerald Hassell,http://www.forbes.com/companies/bank-of-ny-mellon/,0.008477485,0.204873939
VINCI,43.025,43.426,2.2689,68.648,162,Industrials,Construction Services,Europe,France,France,,Xavier Huillard,http://www.forbes.com/companies/vinci/,0.033051218,0.052247501
China Railway Group,25.467,96.001,1.9454,109.903,163,Industrials,Construction Services,Asia,China,China,,Dai Hegen,http://www.forbes.com/companies/china-railway-group/,0.017701064,0.020264372
Target,49.397,73.785,3.363,40.262,164,Consumer Discretionary,Discount Stores,North America,United States,Minnesota,Minnesota,Brian Cornell,http://www.forbes.com/companies/target/,0.083527892,0.04557837
Travelers,32.409,26.852,3.414,101.956,165,Financials,Property & Casualty Insurance,North America,United States,New York,New York,Alan Schnitzer,http://www.forbes.com/companies/travelers-cos/,0.033485033,0.127141367
Hewlett Packard Enterprise,30.023,51.831,2.461,77.352,166,Information Technology,Computer Hardware,North America,United States,,,Margaret Whitman,http://www.forbes.com/companies/hewlett-packard-enterprise/,0.031815596,0.047481237
China Shenhua Energy,43.089,27.251,2.5873,85.309,167,Materials,Diversified Metals & Mining,Asia,China,China,,Wen Sun,http://www.forbes.com/companies/china-shenhua-energy/,0.03032857,0.094943305
Aetna,40.248,60.368,2.3902,53.424,168,Health Care,Managed Health Care,North America,United States,Connecticut,Connecticut,Mark Bertolini,http://www.forbes.com/companies/aetna/,0.044740192,0.039593825
Qualcomm,77.324,22.614,4.907,50.06,169,Information Technology,Semiconductors,North America,United States,California,California,Steven Mollenkopf,http://www.forbes.com/companies/qualcomm/,0.098022373,0.216989476
Delta Air Lines,34.428,40.474,4.726,53.342,170,Industrials,Airline,North America,United States,Georgia,Georgia,Edward Bastian,http://www.forbes.com/companies/delta-air-lines/,0.088598103,0.116766319
Lloyds Banking Group,70.027,46.198,0.7731,1188.977,170,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Antonio De Sousa Horta-Osorio,http://www.forbes.com/companies/lloyds-banking-group/,0.000650223,0.016734491
Union Pacific,75.382,21.028,4.6,55.772,172,Industrials,Railroads,North America,United States,Nebraska,Nebraska,Lance Fritz,http://www.forbes.com/companies/union-pacific/,0.082478663,0.218755944
Chubb,55.332,19.18,2.834,102.366,173,Financials,Property & Casualty Insurance,Europe,Switzerland,Switzerland,,Evan Greenberg,http://www.forbes.com/companies/chubb/,0.027684974,0.147758081
Alibaba,200.718,14.964,10.9938,56.173,174,Consumer Discretionary,Business & Personal Services,Asia,China,China,,Yong Zhang,http://www.forbes.com/companies/alibaba/,0.195713243,0.73468324
AstraZeneca,75.019,24.714,2.8237,60.124,175,Health Care,Pharmaceuticals,Europe,United Kingdom,United Kingdom,,Pascal Soriot,http://www.forbes.com/companies/astrazeneca/,0.046964606,0.114255078
Schlumberger,111.135,31.746,1.598,69.141,176,Energy,Oil Services & Equipment,North America,United States,Texas,Texas,Paal Kibsgaard,http://www.forbes.com/companies/schlumberger/,0.023112191,0.05033705
British American Tobacco,111.042,20.02,6.5543,46.45,177,Consumer Staples,Tobacco,Europe,United Kingdom,United Kingdom,,Nicandro Durante,http://www.forbes.com/companies/british-american-tobacco/,0.141104413,0.327387612
Hitachi,23.329,84.039,1.9771,106.597,178,Information Technology,Electronics,Asia,Japan,Japan,,Toshiaki Higashihara,http://www.forbes.com/companies/hitachi/,0.018547426,0.023525982
SAP,98.375,23.208,3.5616,48.868,179,Information Technology,Software & Programming,Europe,Germany,Germany,,William Mcdermott,http://www.forbes.com/companies/sap/,0.07288205,0.153464323
China Railway Construction,21.562,92.566,2.0078,107.197,180,Industrials,Construction Services,Asia,China,China,,Zhang Zongyan,http://www.forbes.com/companies/china-railway-construction/,0.018730002,0.02169047
People's Insurance Company,18.268,63.241,3.1202,125.805,180,Financials,Property & Casualty Insurance,Asia,China,China,,Fan Lin,http://www.forbes.com/companies/peoples-insurance-company/,0.024801876,0.049338246
Manulife Financial,29.277,25.047,1.7126,481.763,182,Financials,Life & Health Insurance,North America,Canada,Canada,,Don Guloien,http://www.forbes.com/companies/manulife-financial/,0.00355486,0.068375454
Valero Energy,28.807,87.804,3.99,44.343,182,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Joseph Gorder,http://www.forbes.com/companies/valero-energy/,0.08998038,0.045442121
Philip Morris International,150.346,26.176,6.586,34.621,184,Consumer Staples,Tobacco,North America,United States,New York,New York,André Calantzopoulos,http://www.forbes.com/companies/philip-morris-international/,0.190231362,0.251604523
China Vanke,27.696,31.075,2.8611,94.138,185,Financials,Real Estate,Asia,China,China,,Liang Yu,http://www.forbes.com/companies/china-vanke/,0.030392615,0.092070796
Tokio Marine Holdings,26.492,35.673,1.7702,182.318,186,Financials,Property & Casualty Insurance,Asia,Japan,Japan,,Shuzo Sumi,http://www.forbes.com/companies/tokio-marine-holdings/,0.009709409,0.049622964
Aviva,25.717,35.974,1.4025,540.856,187,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,,Patrick Domit,http://www.forbes.com/companies/aviva/,0.002593112,0.03898649
Facebook,314.758,17.927,3.67,49.407,188,Information Technology,Computer Services,North America,United States,California,California,Mark Zuckerberg,http://www.forbes.com/companies/facebook/,0.074280972,0.204719139
McDonald's,110.148,25.358,4.8164,37.939,189,Consumer Discretionary,Restaurants,North America,United States,Illinois,Illinois,Stephen Easterbrook,http://www.forbes.com/companies/mcdonalds/,0.126951158,0.189936115
Dalian Wanda Commercial Properties,29.914,19.849,4.738,98.491,190,,,Asia,China,China,,Ben Ding,http://www.forbes.com/companies/dalian-wanda-commercial-properties/,0.048105918,0.238702202
Exelon,31.421,28.708,2.269,95.384,191,Utilities,Electric Utilities,North America,United States,Illinois,Illinois,Christopher Crane,http://www.forbes.com/companies/exelon/,0.023788057,0.079037202
Costco Wholesale,65.82,117.269,2.309,32.388,192,Consumer Discretionary,Discount Stores,North America,United States,Washington,Washington,Walter Jelinek,http://www.forbes.com/companies/costco-wholesale/,0.071291836,0.019689773
Sony,34.14,67.892,1.0683,142.206,192,Consumer Discretionary,Consumer Electronics,Asia,Japan,Japan,,Kazuo Hirai,http://www.forbes.com/companies/sony/,0.007512341,0.015735285
Imperial Tobacco Group,49.347,39.054,2.6114,45.645,194,Consumer Staples,Tobacco,Europe,United Kingdom,United Kingdom,,Alison Cooper,http://www.forbes.com/companies/imperial-tobacco-group/,0.057211086,0.06686639
UniCredit Group,23.613,25.738,1.8048,934.689,195,Financials,Regional Banks,Europe,Italy,Italy,,Federico Ghizzoni,http://www.forbes.com/companies/unicredit-group/,0.00193091,0.070121999
Visa,189.782,14.28,6.846,54.326,196,Financials,Consumer Financial Services,North America,United States,California,California,Charles Scharf,http://www.forbes.com/companies/visa/,0.126017008,0.479411765
Brookfield Asset Management,33.378,20.094,2.3302,139.514,197,Financials,Real Estate,North America,Canada,Canada,,Bruce Flatt,http://www.forbes.com/companies/brookfield-asset-management/,0.016702266,0.115964965
L'Oréal Group,102.872,28.008,3.6566,36.621,198,Consumer Staples,Household/Personal Care,Europe,France,France,,Jean-Paul Agon,http://www.forbes.com/companies/loreal-group/,0.099849813,0.130555556
Jardine Matheson,42.142,37.007,1.797,66.955,199,Industrials,Conglomerates,Asia,Hong Kong,Hong Kong,,Benjamin Keswick,http://www.forbes.com/companies/jardine-matheson/,0.026838922,0.048558381
3M,102.175,30.274,4.833,32.718,200,Industrials,Conglomerates,North America,United States,Minnesota,Minnesota,Inge Thulin,http://www.forbes.com/companies/3m/,0.147716853,0.159641937
Tencent Holdings,197.439,16.349,4.5844,47.249,201,Information Technology,Computer Services,Asia,China,China,,Huateng Ma,http://www.forbes.com/companies/tencent-holdings/,0.097026392,0.280408588
Allstate,24.685,35.586,2.171,106.495,202,Financials,Diversified Insurance,North America,United States,Illinois,Illinois,Thomas Wilson,http://www.forbes.com/companies/allstate/,0.020385934,0.061007138
Itochu,21.968,43.249,2.8923,76.767,203,Industrials,Trading Companies,Asia,Japan,Japan,,Masahiro Okafuji,http://www.forbes.com/companies/itochu/,0.037676345,0.066875535
Aflac,28.461,21.036,2.533,118.296,204,Financials,Life & Health Insurance,North America,United States,Georgia,Georgia,Dan Amos,http://www.forbes.com/companies/aflac/,0.021412389,0.120412626
Lowe's,68.25,59.073,2.535,31.813,205,Consumer Discretionary,Home Improvement Retail,North America,United States,North Carolina,North Carolina,Robert Niblock,http://www.forbes.com/companies/lowes-cos/,0.079684406,0.042913006
Twenty-First Century Fox,59.323,26.514,2.409,48.096,206,,,North America,United States,New York,New York,Keith Murdoch,http://www.forbes.com/companies/twenty-first-century-fox/,0.050087325,0.09085766
BT Group,62.441,27.335,3.8531,38.091,207,Telecommunication Services,Telecommunications services,Europe,United Kingdom,United Kingdom,,Gavin Patterson,http://www.forbes.com/companies/bt-group/,0.101155129,0.140958478
Cigna,36.273,37.988,2.094,58.015,208,Health Care,Managed Health Care,North America,United States,Connecticut,Connecticut,David Cordani,http://www.forbes.com/companies/cigna/,0.036094114,0.05512267
Continental,43.671,43.505,3.0245,36.707,209,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,Germany,,Elmar Degenhart,http://www.forbes.com/companies/continental/,0.082395728,0.069520745
American Airlines Group,22.092,40.99,7.61,48.415,210,,,North America,United States,Texas,Texas,William Parker,http://www.forbes.com/companies/american-airlines-group/,0.157182691,0.185655038
BlackRock,60.366,11.299,3.18,223,211,Financials,Investment Services,North America,United States,New York,New York,Laurence Fink,http://www.forbes.com/companies/blackrock/,0.01426009,0.281440835
NextEra Energy,52.806,15.931,2.752,82.479,212,Utilities,Electric Utilities,North America,United States,Florida,Florida,James Robo,http://www.forbes.com/companies/nextera-energy/,0.033366069,0.172744963
Southern,45.264,17.527,2.421,84.674,213,Utilities,Electric Utilities,North America,United States,Georgia,Georgia,Thomas Fanning,http://www.forbes.com/companies/southern/,0.028592012,0.138129743
Danaher,66.404,20.909,2.5968,48.222,214,Industrials,Conglomerates,North America,United States,District of Columbia,District of Columbia,Thomas Joyce,http://www.forbes.com/companies/danaher/,0.053850939,0.124195323
SABMiller,98.985,20.752,2.9657,42.253,214,Consumer Staples,Beverages,Europe,United Kingdom,United Kingdom,,Alan Clark,http://www.forbes.com/companies/sabmiller/,0.070189099,0.142911527
Christian Dior,31.417,41.597,1.7044,68.096,216,Consumer Discretionary,Apparel/Accessories,Europe,France,France,,Sidney Toledano,http://www.forbes.com/companies/christian-dior/,0.02502937,0.040974109
Canadian Imperial Bank,31.238,13.294,2.8027,340.403,217,Financials,Regional Banks,North America,Canada,Canada,,Victor Dodig,http://www.forbes.com/companies/canadian-imperial-bank/,0.008233476,0.210824432
China Unicom,29.052,42.953,1.2508,92.705,218,Telecommunication Services,Telecommunications services,Asia,China,China,,Xiao Wang,http://www.forbes.com/companies/china-unicom/,0.01349226,0.029120201
Denso,36.123,37.33,2.3872,43.759,219,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,Japan,,Nobuaki Katoh,http://www.forbes.com/companies/denso/,0.054553349,0.063948567
Oil & Natural Gas,27.794,26.088,2.9984,57.303,220,Energy,Oil & Gas Operations,Asia,India,India,,Dinesh Sarraf,http://www.forbes.com/companies/oil-natural-gas/,0.052325358,0.114934069
CRRC,38.772,38.178,1.8774,48,221,Industrials,Heavy Equipment,Asia,China,China,,Yan Wang,http://www.forbes.com/companies/crrc/,0.0391125,0.049174917
Japan Tobacco,84.335,19.241,4.0118,37.892,222,Consumer Staples,Tobacco,Asia,Japan,Japan,,Mitsuomi Koizumi,http://www.forbes.com/companies/japan-tobacco/,0.105874591,0.208502677
Kroger,34.245,109.83,2.027,34.9,223,Consumer Staples,Food Retail,North America,United States,Ohio,Ohio,W Mcmullen,http://www.forbes.com/companies/kroger/,0.058080229,0.018455795
Dai-ichi Life Insurance,15.608,55.738,1.5223,416.724,224,Financials,Life & Health Insurance,Asia,Japan,Japan,,Katsutoshi Saito,http://www.forbes.com/companies/dai-ichi-life-insurance/,0.003653017,0.027311708
ABB,48.059,35.529,1.9214,41.596,225,Industrials,Conglomerates,Europe,Switzerland,Switzerland,,Ulrich Spiesshofer,http://www.forbes.com/companies/abb/,0.046191942,0.054079766
Altria Group,118.43,18.854,5.231,32.535,226,Consumer Staples,Tobacco,North America,United States,Virginia,Virginia,Martin Barrington,http://www.forbes.com/companies/altria-group/,0.160780698,0.277447756
Time Warner Cable,57.065,23.697,1.825,49.277,227,Consumer Discretionary,Broadcasting & Cable,North America,United States,New York,New York,Robert Marcus,http://www.forbes.com/companies/time-warner-cable/,0.037035534,0.077013968
Deutsche Post,35.579,65.681,1.7077,41.424,228,Industrials,Air Courier,Europe,Germany,Germany,,Frank Appe,http://www.forbes.com/companies/deutsche-post/,0.041224894,0.025999909
