Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
Procter & Gamble,224.25,81.669,9.532,136.263,36,Consumer Staples,Household/Personal Care,North America,United States,Ohio,Ohio,Alan Lafley,http://www.forbes.com/companies/procter-gamble/,0.069952959,0.116715033
China Life Insurance,160.495,71.439,5.2194,362.116,37,Financials,Life & Health Insurance,Asia,China,China,,Lin Dairen,http://www.forbes.com/companies/china-life-insurance/,0.014413613,0.073060933
Bank of Communications,71.248,53.613,10.6883,1010.364,38,Financials,Regional Banks,Asia,China,China,,Peng Chun,http://www.forbes.com/companies/bank-of-communications/,0.010578663,0.19936023
Google,367.587,65.977,13.704,131.133,39,Information Technology,Computer Services,North America,United States,California,California,Lawrence Page,http://www.forbes.com/companies/google/,0.104504587,0.207708747
Vodafone,88.035,66.306,77.4014,200.48,40,Telecommunication Services,Telecommunications services,Europe,United Kingdom,United Kingdom,,Vittorio Colao,http://www.forbes.com/companies/vodafone/,0.386080407,1.167336289
BP,120.813,352.753,3.4944,284.305,41,Energy,Oil & Gas Operations,Europe,United Kingdom,United Kingdom,,Robert Dudley,http://www.forbes.com/companies/bp/,0.012291025,0.009906082
American International Group,75.037,67.504,7.562,515.581,42,Financials,Diversified Insurance,North America,United States,New York,New York,Peter Hancock,http://www.forbes.com/companies/american-international-group/,0.014666949,0.112022991
Itaú Unibanco Holding,63.727,76.571,9.1573,424.047,42,Financials,Regional Banks,South America,Brazil,Brazil,,Roberto Setúbal,http://www.forbes.com/companies/itau-unibanco-holding/,0.021595012,0.119592274
IBM,160.164,93.357,12.022,117.532,44,Information Technology,Computer Services,North America,United States,New York,New York,Virginia Rometty,http://www.forbes.com/companies/ibm/,0.102287037,0.128774489
BMW Group,81.445,106.648,7.6907,187.319,45,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Norbert Reithofer,http://www.forbes.com/companies/bmw-group/,0.0410567,0.072112932
Comcast,147.768,68.775,8.38,159.339,46,Consumer Discretionary,Broadcasting & Cable,North America,United States,Pennsylvania,Pennsylvania,Brian Roberts,http://www.forbes.com/companies/comcast/,0.052592272,0.121846601
Commonwealth Bank,117.07,39.576,8.0748,696.182,47,Financials,Major Banks,Australia,Australia,Australia,,Ian Narev,http://www.forbes.com/companies/commonwealth-bank/,0.011598691,0.204032747
Pfizer,211.719,49.605,9.081,169.274,48,Health Care,Pharmaceuticals,North America,United States,New York,New York,Ian Read,http://www.forbes.com/companies/pfizer/,0.05364675,0.183066223
Goldman Sachs Group,86.474,40.085,8.477,856.24,49,Financials,Investment Services,North America,United States,New York,New York,Lloyd Blankfein,http://www.forbes.com/companies/goldman-sachs-group/,0.009900262,0.211475614
BHP Billiton,119.547,63.096,9.967,146.081,50,Materials,Diversified Metals & Mining,Australia,Australia,Australia,,Andrew Mackenzie,http://www.forbes.com/companies/bhp-billiton/,0.06822927,0.15796564
MetLife,57.271,70.509,6.309,902.337,50,Financials,Diversified Insurance,North America,United States,New York,New York,Steven Kandarian,http://www.forbes.com/companies/metlife/,0.006991845,0.089477939
Novartis,272.634,53.564,10.1401,125.766,52,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Joseph Jimenez,http://www.forbes.com/companies/novartis/,0.080626719,0.189308117
Royal Bank of Canada,89.306,38.869,8.3281,857.049,53,Financials,Major Banks,North America,Canada,Canada,,David Mckay,http://www.forbes.com/companies/royal-bank-of-canada/,0.009717181,0.214260722
Siemens,97.671,97.369,6.6588,131.568,54,Industrials,Conglomerates,Europe,Germany,Germany,,Josef Käser,http://www.forbes.com/companies/siemens/,0.050611091,0.068387269
China Merchants Bank,64.043,45.474,9.0719,762.706,55,Financials,Regional Banks,Asia,China,China,,Li Jianhong,http://www.forbes.com/companies/china-merchants-bank/,0.01189436,0.199496416
Prudential,64.526,99.001,3.6488,564.506,56,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,,Cheick Thiam,http://www.forbes.com/companies/prudential/,0.006463705,0.036856193
Anheuser-Busch InBev,204.569,47.084,9.2395,144.888,57,Consumer Staples,Beverages,Europe,Belgium,Belgium,,Carlos De Brito,http://www.forbes.com/companies/anheuser-busch-inbev/,0.063769946,0.19623439
Nippon Telegraph & Tel,71.531,104.7,5.2065,172.17,58,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Hiroo Unoura,http://www.forbes.com/companies/nippon-tel-tel/,0.03024046,0.049727794
Rosneft,51.1,128.977,9.0128,149.972,59,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Igor Sechin,http://www.forbes.com/companies/rosneft/,0.060096551,0.069879126
Westpac Banking Group,94.152,35.555,6.9494,674.525,60,Financials,Major Banks,Australia,Australia,Australia,,Brian Hartzer,http://www.forbes.com/companies/westpac-banking/,0.010302657,0.195454929
Banco Bradesco,51.372,66.708,6.5063,403.072,61,Financials,Regional Banks,South America,Brazil,Brazil,,Luiz Trabuco Cappi,http://www.forbes.com/companies/banco-bradesco/,0.016141781,0.097534029
Softbank,70.286,80.644,5.8408,168.801,62,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Masayoshi Son,http://www.forbes.com/companies/softbank/,0.034601691,0.072426963
Honda Motor,61.359,117.055,5.6253,148.67,63,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takahiro Hachigo,http://www.forbes.com/companies/honda-motor/,0.037837492,0.048056896
General Motors,59.036,155.929,3.949,177.677,64,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Mary Barra,http://www.forbes.com/companies/general-motors/,0.022225724,0.025325629
UnitedHealth Group,112.006,130.5,5.619,86.382,65,Health Care,Managed Health Care,North America,United States,Minnesota,Minnesota,Stephen Hemsley,http://www.forbes.com/companies/unitedhealth-group/,0.065048274,0.043057471
TD Bank Group,80.371,32.741,6.9968,851.891,66,Financials,Major Banks,North America,Canada,Canada,,Bharat Masrani,http://www.forbes.com/companies/td-bank-group/,0.008213257,0.213701475
Intel,147.197,55.87,11.704,91.956,67,Information Technology,Semiconductors,North America,United States,California,California,Brian Krzanich,http://www.forbes.com/companies/intel/,0.127278264,0.209486307
EDF,46.266,96.663,4.6903,324.28,68,Utilities,Electric Utilities,Europe,France,France,,Jean-Bernard Lévy,http://www.forbes.com/companies/edf/,0.014463735,0.048522185
Ford Motor,63.598,144.077,3.187,208.527,69,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Mark Fields,http://www.forbes.com/companies/ford-motor/,0.015283393,0.022120116
Deutsche Telekom,85.013,83.112,3.8785,156.532,70,Telecommunication Services,Telecommunications services,Europe,Germany,Germany,,Timotheus Höttges,http://www.forbes.com/companies/deutsche-telekom/,0.024777681,0.046665945
BASF,93.536,98.589,6.8378,90.172,71,Materials,Diversified Chemicals,Europe,Germany,Germany,,Kurt Bock,http://www.forbes.com/companies/basf/,0.075830635,0.069356622
Boeing,105.627,90.784,5.441,99.198,72,Industrials,Aerospace & Defense,North America,United States,Illinois,Illinois,W Mcnerney Jr,http://www.forbes.com/companies/boeing/,0.054849896,0.059933468
Industrial Bank,57.893,39.426,7.55,650.798,73,Financials,Regional Banks,Asia,China,China,,Li Renjie,http://www.forbes.com/companies/industrial-bank/,0.011601142,0.191497996
UBS,74.717,39.784,3.901,1069.268,73,Financials,Regional Banks,Europe,Switzerland,Switzerland,,Sergio Ermotti,http://www.forbes.com/companies/ubs/,0.00364829,0.098054494
ANZ,77.583,32.613,6.6816,676.701,75,Financials,Major Banks,Australia,Australia,Australia,,Michael Pearson Smith,http://www.forbes.com/companies/anz/,0.009873785,0.204875356
Cisco Systems,138.951,48.083,8.653,104.922,76,Information Technology,Communications Equipment,North America,United States,California,California,John Chambers,http://www.forbes.com/companies/cisco-systems/,0.082470788,0.179959653
Sumitomo Mitsui Financial,54.794,34.836,7.6795,1465.414,77,Financials,Regional Banks,Asia,Japan,Japan,,Koichi Miyata,http://www.forbes.com/companies/sumitomo-mitsui-financial/,0.005240499,0.220447238
Zurich Insurance Group,51.845,73.003,3.8844,389.979,78,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,,Martin Senn,http://www.forbes.com/companies/zurich-insurance-group/,0.009960536,0.053208772
China Minsheng Banking,51.702,40,7.2282,647.185,79,Financials,Regional Banks,Asia,China,China,,Hong Qi,http://www.forbes.com/companies/china-minsheng-banking/,0.011168677,0.180705
Merck & Co,162.288,42.197,11.92,98.335,80,Health Care,Pharmaceuticals,North America,United States,New Jersey,New Jersey,Kenneth Frazier,http://www.forbes.com/companies/merck-co/,0.121218284,0.282484537
Roche Holding,240.395,51.848,10.1943,76.124,81,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Severin Schwan,http://www.forbes.com/companies/roche/,0.13391703,0.196618963
Citic Pacific,44.264,51.856,5.1368,766.982,82,Materials,Iron & Steel,Asia,Hong Kong,Hong Kong,,Ji Zhang,http://www.forbes.com/companies/citic-pacific/,0.006697419,0.099058932
National Australia Bank,71.65,33.444,4.8732,772.932,83,Financials,Major Banks,Australia,Australia,Australia,,Andrew Thorburn,http://www.forbes.com/companies/national-australia-bank/,0.006304824,0.145712235
Shanghai Pudong Development,49.235,38.243,7.632,676.326,84,Financials,Regional Banks,Asia,China,China,,Zhu Yuchen,http://www.forbes.com/companies/shanghai-pudong-development/,0.011284499,0.199565934
Walt Disney,179.525,49.781,7.843,87.035,84,Consumer Discretionary,Broadcasting & Cable,North America,United States,California,California,Robert Iger,http://www.forbes.com/companies/walt-disney/,0.090113173,0.157550069
CVS Health,117.421,139.367,4.636,74.252,86,Consumer Staples,Drug Retail,North America,United States,Rhode Island,Rhode Island,Larry Merlo,http://www.forbes.com/companies/cvs-health/,0.062436029,0.03326469
Telefónica,72.318,66.822,3.982,147.988,86,Telecommunication Services,Telecommunications services,Europe,Spain,Spain,,César Izuel,http://www.forbes.com/companies/telefonica/,0.026907587,0.059591153
Oracle,187.609,38.841,10.827,98.816,88,Information Technology,Software & Programming,North America,United States,California,California,Safra Catz,http://www.forbes.com/companies/oracle/,0.109567277,0.278751834
ConocoPhillips,80.525,52.001,6.869,116.539,89,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Ryan Lance,http://www.forbes.com/companies/conocophillips/,0.058941642,0.132093614
Sanofi,135.957,44.794,5.8231,117.849,89,Health Care,Pharmaceuticals,Europe,France,France,,Olivier Brandicourt,http://www.forbes.com/companies/sanofi/,0.049411535,0.129997321
United Technologies,107.07,65.196,6.22,91.289,91,Industrials,Conglomerates,North America,United States,Connecticut,Connecticut,Gregory Hayes,http://www.forbes.com/companies/united-technologies/,0.068135263,0.095404626
ING Group,58.875,65.729,2.572,1195.717,92,Financials,Major Banks,Europe,Netherlands,Netherlands,,Ralph Hamers,http://www.forbes.com/companies/ing-group/,0.002151011,0.039130369
Coca-Cola,179.851,45.913,7.098,92.023,93,Consumer Staples,Beverages,North America,United States,Georgia,Georgia,Ahmet Kent,http://www.forbes.com/companies/coca-cola/,0.077132891,0.154596737
China Citic Bank,49.679,38.311,6.6027,667.12,94,Financials,Regional Banks,Asia,China,China,,Li Qingping,http://www.forbes.com/companies/china-citic-bank/,0.00989732,0.172344757
Morgan Stanley,70.803,38.983,3.463,803.065,95,Financials,Investment Services,North America,United States,New York,New York,James Gorman,http://www.forbes.com/companies/morgan-stanley/,0.004312229,0.088833594
Hewlett-Packard,57.853,109.763,4.954,100.861,96,Information Technology,Computer Hardware,North America,United States,California,California,Margaret Whitman,http://www.forbes.com/companies/hewlett-packard/,0.049117102,0.045133606
Nissan Motor,45.871,106.683,4.2867,138.936,96,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Carlos Ghosn,http://www.forbes.com/companies/nissan-motor/,0.030853774,0.04018166
GDF SUEZ,49.544,99.067,3.2365,200.027,98,Utilities,Electric Utilities,Europe,France,France,,Gérard Mestrallet,http://www.forbes.com/companies/gdf-suez/,0.016180316,0.032669809
PepsiCo,143.018,66.683,6.504,70.509,99,Consumer Staples,Beverages,North America,United States,New York,New York,Indra Nooyi,http://www.forbes.com/companies/pepsico/,0.092243543,0.097536104
Lloyds Banking Group,84.443,65.607,1.9281,1332.996,100,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,Antonio De Sousa Horta-Osorio,http://www.forbes.com/companies/lloyds-banking-group/,0.001446441,0.029388632
Munich Re,38.246,77.016,4.1677,323.871,101,Financials,Diversified Insurance,Europe,Germany,Germany,,Nikolaus Von Bomhard,http://www.forbes.com/companies/munich-re/,0.012868395,0.054114729
Société Générale,40.651,54.173,3.5708,1582.951,101,Financials,Major Banks,Europe,France,France,,Frédéric Oudéa,http://www.forbes.com/companies/societe-generale/,0.002255787,0.065914755
CNOOC,64.384,44.57,9.769,106.844,103,Energy,Oil & Gas Operations,Asia,China,China,,Fan Li,http://www.forbes.com/companies/cnooc/,0.091432369,0.219183307
Statoil,58.041,95.139,3.4732,131.563,103,Energy,Oil & Gas Operations,Europe,Norway,Norway,,Eldar Sætre,http://www.forbes.com/companies/statoil/,0.02639952,0.036506585
American Express,80.876,36.014,5.839,159.103,105,Financials,Consumer Financial Services,North America,United States,New York,New York,Kenneth Chenault,http://www.forbes.com/companies/american-express/,0.036699497,0.162131393
Rio Tinto,76.526,47.641,6.4954,107.827,105,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,,Samuel Cossart Walsh,http://www.forbes.com/companies/rio-tinto/,0.060239087,0.136340547
Bank of Nova Scotia,61.347,27.897,6.3693,671.851,107,Financials,Major Banks,North America,Canada,Canada,,Brian Porter,http://www.forbes.com/companies/bank-of-nova-scotia/,0.009480227,0.228314873
Bayer,126.382,56.028,4.5444,84.983,108,Materials,Diversified Chemicals,Europe,Germany,Germany,,Marijn Dekkers,http://www.forbes.com/companies/bayer/,0.053474224,0.081109445
LukOil,43.504,121.359,4.746,111.8,109,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Vagit Alekperov,http://www.forbes.com/companies/lukoil/,0.042450805,0.039107112
Glencore International,54.869,220.934,2.2925,152.205,110,Materials,Diversified Metals & Mining,Europe,Switzerland,Switzerland,,Ivan Glasenberg,http://www.forbes.com/companies/glencore-international/,0.015061923,0.010376402
Credit Agricole,39.952,48.526,3.1087,1922.861,111,Financials,Regional Banks,Europe,France,France,,Jean-Paul Chifflet,http://www.forbes.com/companies/credit-agricole/,0.001616706,0.064062564
China State Construction Engineering,36.806,120.336,3.8846,150.625,112,Industrials,Construction Services,Asia,China,China,,Guan Qing,http://www.forbes.com/companies/china-state-construction-engineering/,0.025789876,0.032281279
Unilever,129.098,64.248,6.859,58.115,113,Consumer Staples,Household/Personal Care,Europe,Netherlands,Netherlands,,Paulus Polman,http://www.forbes.com/companies/unilever/,0.118024606,0.106758187
Deutsche Bank,49.717,56.366,2.2072,2067.616,114,Financials,Major Banks,Europe,Germany,Germany,,Jürgen Fitschen,http://www.forbes.com/companies/deutsche-bank/,0.00106751,0.039158358
BBVA-Banco Bilbao Vizcaya,66.117,28.148,3.4726,764.681,115,Financials,Regional Banks,Europe,Spain,Spain,,Francisco Rodríguez,http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/,0.00454124,0.123369334
Saudi Basic Industries,64.004,50.361,6.2474,90.888,116,Materials,Diversified Chemicals,Asia,Saudi Arabia,Saudi Arabia,,Yousef Bin Abdullah Al-Benyan,http://www.forbes.com/companies/saudi-basic-industries/,0.068737347,0.124052342
Hyundai Motor,32.854,84.791,6.9793,133.945,117,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,South Korea,,Chung Mong-Koo,http://www.forbes.com/companies/hyundai-motor/,0.052105715,0.082311802
Hutchison Whampoa,59.776,35.096,8.6601,113.92,118,Industrials,Conglomerates,Asia,Hong Kong,Hong Kong,,Kin Fok,http://www.forbes.com/companies/hutchison-whampoa/,0.076019136,0.246754616
Mizuho Financial,43.648,27.033,6.1266,1634.734,119,Financials,Major Banks,Asia,Japan,Japan,,Yasuhiro Sato,http://www.forbes.com/companies/mizuho-financial/,0.003747766,0.226634114
EADS,52.437,80.532,3.1079,116.288,120,Industrials,Aerospace & Defense,Europe,France,France,,Thomas Enders,http://www.forbes.com/companies/eads/,0.026725887,0.038592112
Eni,64.246,145.893,1.7682,176.898,121,Energy,Oil & Gas Operations,Europe,Italy,Italy,,Claudio Descalzi,http://www.forbes.com/companies/eni/,0.009995591,0.012119841
Hon Hai Precision,44.608,139.034,4.3076,77.929,122,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Terry Gou,http://www.forbes.com/companies/hon-hai-precision/,0.055275956,0.03098235
Schlumberger,109.785,48.58,5.438,66.904,123,Energy,Oil Services & Equipment,North America,United States,Texas,Texas,Paal Kibsgaard,http://www.forbes.com/companies/schlumberger/,0.081280641,0.11193907
Sberbank,26.875,58.063,7.5677,420.013,124,Financials,Regional Banks,Asia,Russia,Russia,,Herman Gref,http://www.forbes.com/companies/sberbank/,0.018017776,0.130336014
América Móvil,74.516,63.744,3.4509,85.233,125,Telecommunication Services,Telecommunications services,North America,Mexico,Mexico,,Daniel Aboumrad,http://www.forbes.com/companies/america-movil/,0.040487839,0.05413686
US Bancorp,77.227,20.252,5.826,406.214,126,Financials,Major Banks,North America,United States,Minnesota,Minnesota,Richard Davis,http://www.forbes.com/companies/us-bancorp/,0.014342194,0.287675291
China Shenhua Energy,63.774,39.638,5.9718,85.847,127,Materials,Diversified Metals & Mining,Asia,China,China,,Han Jianguo,http://www.forbes.com/companies/china-shenhua-energy/,0.069563293,0.150658459
Manulife Financial,34.02,48.171,3.1699,484.249,128,Financials,Life & Health Insurance,North America,Canada,Canada,,Don Guloien,http://www.forbes.com/companies/manulife-financial/,0.006546012,0.065805152
Generali Group,31.631,111.737,2.2165,601.322,129,Financials,Diversified Insurance,Europe,Italy,Italy,,Mario Greco,http://www.forbes.com/companies/generali-group/,0.003686045,0.01983676
SAIC Motor,47.119,99.519,4.4271,62.135,130,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,China,,Chen Hong,http://www.forbes.com/companies/saic-motor/,0.071249698,0.044484973
Mitsubishi Corp,32.801,73.139,3.8183,143.029,131,Industrials,Trading Companies,Asia,Japan,Japan,,Ken Kobayashi,http://www.forbes.com/companies/mitsubishi-corp/,0.026695985,0.052206073
Nordea Bank,50.846,20.825,4.4198,809.937,132,Financials,Regional Banks,Europe,Sweden,Sweden,,Christian Clausen,http://www.forbes.com/companies/nordea-bank/,0.005456968,0.212235294
Banco do Brasil,23.599,68.806,5.0356,482.899,133,Financials,Regional Banks,South America,Brazil,Brazil,,Alexandre Abreu,http://www.forbes.com/companies/banco-do-brasil/,0.010427853,0.073185478
Home Depot,149.246,83.176,6.345,39.946,134,Consumer Discretionary,Home Improvement Retail,North America,United States,Georgia,Georgia,Craig Menear,http://www.forbes.com/companies/home-depot/,0.158839433,0.076284024
GlaxoSmithKline,114.126,37.881,4.5379,63.385,135,Health Care,Pharmaceuticals,Europe,United Kingdom,United Kingdom,,Andrew Witty,http://www.forbes.com/companies/glaxosmithkline/,0.071592648,0.119793564
AIA Group,76.673,25.433,3.4499,165.262,136,Financials,Life & Health Insurance,Asia,Hong Kong,Hong Kong,,Mark Tucker,http://www.forbes.com/companies/aia-group/,0.020875337,0.135646601
Caterpillar,49.397,55.184,3.695,84.681,136,Industrials,Heavy Equipment,North America,United States,Illinois,Illinois,Douglas Oberhelman,http://www.forbes.com/companies/caterpillar/,0.043634345,0.066957814
UniCredit Group,41.344,30.523,2.6622,1021.545,138,Financials,Regional Banks,Europe,Italy,Italy,,Federico Ghizzoni,http://www.forbes.com/companies/unicredit-group/,0.002606053,0.087219474
Credit Suisse Group,44.379,38.441,2.0506,927.351,139,Financials,Investment Services,Europe,Switzerland,Switzerland,,Brady Dougan,http://www.forbes.com/companies/credit-suisse-group/,0.002211245,0.053344086
Dow Chemical,56.08,58.226,3.751,68.796,139,Materials,Diversified Chemicals,North America,United States,Michigan,Michigan,Andrew Liveris,http://www.forbes.com/companies/dow-chemical/,0.054523519,0.064421393
Capital One Financial,44.132,23.785,4.41,310.212,141,Financials,Consumer Financial Services,North America,United States,Virginia,Virginia,Richard Fairbank,http://www.forbes.com/companies/capital-one-financial/,0.014216084,0.185410973
Intesa Sanpaolo,58.403,35.218,1.7867,782.209,142,Financials,Regional Banks,Europe,Italy,Italy,,Gian Gros-Pietro,http://www.forbes.com/companies/intesa-sanpaolo/,0.002284172,0.05073258
Reliance Industries,42.926,71.734,3.7219,76.589,142,Energy,Oil & Gas Operations,Asia,India,India,,Mukesh Ambani,http://www.forbes.com/companies/reliance-industries/,0.048595751,0.051884741
China Telecom,53.869,52.653,2.8676,90.47,144,Telecommunication Services,Telecommunications services,Asia,China,China,,Xiao Wang,http://www.forbes.com/companies/china-telecom/,0.031696695,0.054462234
