Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales,,,,,,,,,,,,
3M,Industrials,Conglomerates,North America,United States,89.8,30.9,4.7,33.6,194,http://www.forbes.com/companies/3m/,0.139880952,0.15210356,,,,,,,,,,,,
Allstate,Financials,Diversified Insurance,North America,United States,25.3,34.2,2.3,123.5,195,http://www.forbes.com/companies/allstate/,0.018623482,0.067251462,,,,,,,,,,,,
Schneider Electric,Industrials,Electrical Equipment,Europe,France,50.7,31.3,2.5,51,196,http://www.forbes.com/companies/schneider-electric/,0.049019608,0.079872204,,,,,,,,,,,,
DNB,Financials,Regional Banks,Europe,Norway,28.6,16.8,3,393.9,197,http://www.forbes.com/companies/dnb/,0.007616146,0.178571429,,,,,,,,,,,,
Lockheed Martin,Industrials,Aerospace & Defense,North America,United States,52.3,45.4,3,36.2,198,http://www.forbes.com/companies/lockheed-martin/,0.082872928,0.066079295,,,,,,,,,,,,
Surgutneftegas,Energy,Oil & Gas Operations,Asia,Russia,26.5,26.9,5.8,68.8,198,http://www.forbes.com/companies/surgutneftegas/,0.084302326,0.215613383,,,,,,,,,,,,
Target,Consumer Discretionary,Discount Stores,North America,United States,38.4,72.6,2,44.6,200,http://www.forbes.com/companies/target/,0.044843049,0.027548209,,,,,,,,,,,,
ACE,Financials,Diversified Insurance,Europe,Switzerland,33.4,18.9,3.8,96.3,201,http://www.forbes.com/companies/ace/,0.039460021,0.201058201,,,,,,,,,,,,
Denso,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,42.4,41.3,2.8,41.3,202,http://www.forbes.com/companies/denso/,0.06779661,0.06779661,,,,,,,,,,,,
Nomura Holdings,Financials,Investment Services,Asia,Japan,23.7,21.5,2.4,415.2,203,http://www.forbes.com/companies/nomura-holdings/,0.005780347,0.111627907,,,,,,,,,,,,
Nippon Steel & Sumitomo Metal,Materials,Iron & Steel,Asia,Japan,25.3,54.8,2.3,67.5,204,http://www.forbes.com/companies/nippon-steel-sumitomo-metal/,0.034074074,0.041970803,,,,,,,,,,,,
Wesfarmers,Consumer Staples,Food Retail,Australia,Australia,43.5,58.5,2.3,39.3,205,http://www.forbes.com/companies/wesfarmers/,0.058524173,0.039316239,,,,,,,,,,,,
China Everbright Bank,Financials,Regional Banks,Asia,China,18.6,21.2,4.2,404.2,206,http://www.forbes.com/companies/china-everbright-bank/,0.010390896,0.198113208,,,,,,,,,,,,
SAP,Information Technology,Software & Programming,Europe,Germany,97.1,22.3,4.4,37.3,207,http://www.forbes.com/companies/sap/,0.117962466,0.197309417,,,,,,,,,,,,
Jardine Matheson,Industrials,Conglomerates,Asia,Hong Kong,43.4,39.5,1.6,63.8,208,http://www.forbes.com/companies/jardine-matheson/,0.02507837,0.040506329,,,,,,,,,,,,
Japan Tobacco,Consumer Staples,Tobacco,Asia,Japan,56.9,23.5,4.5,41.8,209,http://www.forbes.com/companies/japan-tobacco/,0.107655502,0.191489362,,,,,,,,,,,,
BG Group,Energy,Oil & Gas Operations,Europe,United Kingdom,64,19.2,2.5,66,210,http://www.forbes.com/companies/bg-group/,0.037878788,0.130208333,,,,,,,,,,,,
Itochu,Industrials,Trading Companies,Asia,Japan,18.4,55,3.2,76.8,211,http://www.forbes.com/companies/itochu/,0.041666667,0.058181818,,,,,,,,,,,,
Carrefour,Consumer Staples,Food Retail,Europe,France,27.4,99.4,1.7,60,212,http://www.forbes.com/companies/carrefour/,0.028333333,0.017102616,,,,,,,,,,,,
SABMiller,Consumer Staples,Beverages,Europe,United Kingdom,80.1,17.5,3.4,53.7,213,http://www.forbes.com/companies/sabmiller/,0.063314711,0.194285714,,,,,,,,,,,,
Bank of New York Mellon,Financials,Major Banks,North America,United States,40.3,15.1,2.1,374.3,214,http://www.forbes.com/companies/bank-of-ny-mellon/,0.005610473,0.139072848,,,,,,,,,,,,
Continental,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,48.7,44.3,2.6,37,215,http://www.forbes.com/companies/continental/,0.07027027,0.058690745,,,,,,,,,,,,
EMC,Information Technology,Computer Storage Devices,North America,United States,56.3,23.2,2.9,45.8,216,http://www.forbes.com/companies/emc/,0.063318777,0.125,,,,,,,,,,,,
Costco Wholesale,Consumer Discretionary,Discount Stores,North America,United States,49.2,107.9,2,31.6,217,http://www.forbes.com/companies/costco-wholesale/,0.063291139,0.018535681,,,,,,,,,,,,
BT Group,Telecommunication Services,Telecommunications services,Europe,United Kingdom,50,28.6,3.2,39.9,218,http://www.forbes.com/companies/bt-group/,0.080200501,0.111888112,,,,,,,,,,,,
Eli Lilly & Co,Health Care,Pharmaceuticals,North America,United States,65.9,23.1,4.7,35.2,219,http://www.forbes.com/companies/eli-lilly-co/,0.133522727,0.203463203,,,,,,,,,,,,
Seven & I Holdings,Consumer Staples,Food Retail,Asia,Japan,33.4,57.3,1.8,46.4,220,http://www.forbes.com/companies/seven-i-holdings/,0.038793103,0.031413613,,,,,,,,,,,,
Canon,Industrials,Business Products & Supplies,Asia,Japan,40.8,38.2,2.4,40.4,221,http://www.forbes.com/companies/canon/,0.059405941,0.062827225,,,,,,,,,,,,
Lowe's Cos,Consumer Discretionary,Home Improvement Retail,North America,United States,50.9,53.4,2.3,32.7,221,http://www.forbes.com/companies/lowes-cos/,0.070336391,0.043071161,,,,,,,,,,,,
China State Construction,Industrials,Construction Services,Asia,China,14,88.1,2.5,123.4,223,http://www.forbes.com/companies/china-state-construction/,0.020259319,0.028376844,,,,,,,,,,,,
Freeport-McMoRan Copper,Materials,Diversified Metals & Mining,North America,United States,34.2,21.6,2.7,63.5,224,http://www.forbes.com/companies/freeport-mcmoran-copper/,0.042519685,0.125,,,,,,,,,,,,
Telstra,Telecommunication Services,Telecommunications services,Australia,Australia,58.1,24.7,3.8,35.6,225,http://www.forbes.com/companies/telstra/,0.106741573,0.153846154,,,,,,,,,,,,
LyondellBasell Industries,Materials,Diversified Chemicals,Europe,Netherlands,48.2,44.1,3.8,27.3,226,http://www.forbes.com/companies/lyondellbasell-industries/,0.139194139,0.0861678,,,,,,,,,,,,
China Pacific Insurance,Financials,Life & Health Insurance,Asia,China,23.2,33.2,1.6,118.6,227,http://www.forbes.com/companies/china-pacific-insurance/,0.013490725,0.048192771,,,,,,,,,,,,
Diageo,Consumer Staples,Beverages,Europe,United Kingdom,77.3,17.7,4,40.2,228,http://www.forbes.com/companies/diageo/,0.099502488,0.225988701,,,,,,,,,,,,
Abbott Laboratories,Health Care,Pharmaceuticals,North America,United States,59.4,21.8,2.6,43,229,http://www.forbes.com/companies/abbott-laboratories/,0.060465116,0.119266055,,,,,,,,,,,,
Gas Natural Fenosa,Utilities,Natural Gas Utilities,Europe,Spain,28.4,33.1,1.9,61.9,230,http://www.forbes.com/companies/gas-natural-fenosa/,0.030694669,0.057401813,,,,,,,,,,,,
Danske Bank,Financials,Major Banks,Europe,Denmark,28.3,20.8,1.3,596,231,http://www.forbes.com/companies/danske-bank/,0.002181208,0.0625,,,,,,,,,,,,
Aetna,Health Care,Managed Health Care,North America,United States,27.2,47.3,1.9,49.9,232,http://www.forbes.com/companies/aetna/,0.038076152,0.040169133,,,,,,,,,,,,
Sony,Consumer Discretionary,Consumer Electronics,Asia,Japan,20.1,78.2,1.1,148.9,233,http://www.forbes.com/companies/sony/,0.007387508,0.014066496,,,,,,,,,,,,
Aegon,Financials,Diversified Insurance,Europe,Netherlands,19.8,40.2,1.1,473,234,http://www.forbes.com/companies/aegon/,0.002325581,0.027363184,,,,,,,,,,,,
Ericsson,Information Technology,Communications Equipment,Europe,Sweden,43.5,34.9,1.8,41.9,235,http://www.forbes.com/companies/ericsson/,0.042959427,0.051575931,,,,,,,,,,,,
Posco,Materials,Iron & Steel,Asia,South Korea,24.8,56.5,1.2,80,236,http://www.forbes.com/companies/posco/,0.015,0.021238938,,,,,,,,,,,,
East Japan Railway,Industrials,Railroads,Asia,Japan,28.7,27.7,1.9,68.8,237,http://www.forbes.com/companies/east-japan-railway/,0.027616279,0.068592058,,,,,,,,,,,,
Brookfield Asset Management,Financials,Real Estate,North America,Canada,25.2,20.8,2.1,112.7,238,http://www.forbes.com/companies/brookfield-asset-management/,0.01863354,0.100961538,,,,,,,,,,,,
Altria Group,Consumer Staples,Tobacco,North America,United States,74.5,17.7,4.5,34.9,239,http://www.forbes.com/companies/altria-group/,0.128939828,0.254237288,,,,,,,,,,,,
BlackRock,Financials,Investment Services,North America,United States,53.1,10.4,2.9,220.6,240,http://www.forbes.com/companies/blackrock/,0.013145966,0.278846154,,,,,,,,,,,,
Exelon,Utilities,Electric Utilities,North America,United States,28.7,24.6,1.7,79.9,241,http://www.forbes.com/companies/exelon/,0.021276596,0.069105691,,,,,,,,,,,,
Danone,Consumer Staples,Food Processing,Europe,France,41.8,28.3,1.9,42.6,242,http://www.forbes.com/companies/danone/,0.044600939,0.067137809,,,,,,,,,,,,
Archer Daniels Midland,Consumer Staples,Food Processing,North America,United States,28.5,89.7,1.3,43.8,243,http://www.forbes.com/companies/archer-daniels-midland/,0.029680365,0.014492754,,,,,,,,,,,,
McKesson,Health Care,Pharmaceuticals,North America,United States,40.5,130.1,1.2,36.5,243,http://www.forbes.com/companies/mckesson/,0.032876712,0.009223674,,,,,,,,,,,,
Heineken Holding,Consumer Staples,Beverages,Europe,Netherlands,40.3,25.5,1.8,45.9,245,http://www.forbes.com/companies/heineken-holding/,0.039215686,0.070588235,,,,,,,,,,,,
Panasonic,Consumer Discretionary,Consumer Electronics,Asia,Japan,28.4,77.3,1.2,52.1,246,http://www.forbes.com/companies/panasonic/,0.02303263,0.015523933,,,,,,,,,,,,
Hess,Energy,Oil & Gas Operations,North America,United States,27.3,22.2,5.1,42.8,246,http://www.forbes.com/companies/hess/,0.119158879,0.22972973,,,,,,,,,,,,
People's Insurance Company,Financials,Property & Casualty Insurance,Asia,China,17.7,42.3,1.5,114.9,248,http://www.forbes.com/companies/peoples-insurance-company/,0.01305483,0.035460993,,,,,,,,,,,,
Shinhan Financial Group,Financials,Investment Services,Asia,South Korea,21.1,19.6,1.7,295,249,http://www.forbes.com/companies/shinhan-financial-group/,0.005762712,0.086734694,,,,,,,,,,,,
eBay,Consumer Discretionary,Internet & Catalog Retail,North America,United States,71,16,2.9,41.5,250,http://www.forbes.com/companies/ebay/,0.069879518,0.18125,,,,,,,,,,,,
Natixis,Financials,Major Banks,Europe,France,23.6,21.6,1.2,702.9,251,http://www.forbes.com/companies/natixis/,0.001707213,0.055555556,,,,,,,,,,,,
Time Warner Cable,Consumer Discretionary,Broadcasting & Cable,North America,United States,38.2,22.1,1.9,48.3,252,http://www.forbes.com/companies/time-warner-cable/,0.039337474,0.085972851,,,,,,,,,,,,
General Dynamics,Industrials,Aerospace & Defense,North America,United States,37.7,31.2,2.4,35.4,253,http://www.forbes.com/companies/general-dynamics/,0.06779661,0.076923077,,,,,,,,,,,,
AbbVie,Health Care,Pharmaceuticals,North America,United States,82.8,18.8,4.1,29.2,254,http://www.forbes.com/companies/abbvie/,0.140410959,0.218085106,,,,,,,,,,,,
Medtronic,Health Care,Medical Equipment & Supplies,North America,United States,61.7,16.9,3.6,37.2,255,http://www.forbes.com/companies/medtronic/,0.096774194,0.213017751,,,,,,,,,,,,
EXOR,Financials,Investment Services,Europe,Italy,10.1,143.7,2.4,170.7,256,http://www.forbes.com/companies/exor/,0.014059754,0.016701461,,,,,,,,,,,,
Bristol-Myers Squibb,Health Care,Pharmaceuticals,North America,United States,85.9,16.4,2.6,38.6,257,http://www.forbes.com/companies/bristol-myers-squibb/,0.067357513,0.158536585,,,,,,,,,,,,
KIA Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,22.8,43.5,3.5,34.3,258,http://www.forbes.com/companies/kia-motors/,0.102040816,0.08045977,,,,,,,,,,,,
SEB,Financials,Major Banks,Europe,Sweden,30.4,11.9,2.3,386.9,259,http://www.forbes.com/companies/seb/,0.005944689,0.193277311,,,,,,,,,,,,
KBC Group,Financials,Major Banks,Europe,Belgium,26.3,17.2,1.3,338.8,260,http://www.forbes.com/companies/kbc-group/,0.003837072,0.075581395,,,,,,,,,,,,
FedEx,Industrials,Air Courier,North America,United States,39.6,45.2,1.7,32.7,261,http://www.forbes.com/companies/fedex/,0.051987768,0.037610619,,,,,,,,,,,,
Renault,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,28.7,54.3,0.8,103.3,262,http://www.forbes.com/companies/renault/,0.007744434,0.014732965,,,,,,,,,,,,
